event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000100034	0.07,-0.02,-0.00,-0.06,0.00	0.07	0.39
gene:ENSG00000184164	-0.00,-0.04,0.06,-0.01,-0.02	0.06	0.38
gene:ENSG00000184792	-0.01,-0.05,-0.02,0.11,0.05,0.01,-0.02,0.01,0.01,-0.03,-0.01,-0.02,-0.02,-0.01,-0.00	0.11	0.38
gene:ENSG00000241360	-0.08	0.08	0.38
gene:ENSG00000100105	0.03,-0.03,0.04,-0.04	0.04	0.37
gene:ENSG00000100258	0.15	0.15	0.37
gene:ENSG00000100393	-0.05,0.04,0.01	0.05	0.37
gene:ENSG00000128245	0.03,0.01,0.06,-0.10	0.1	0.37
gene:ENSG00000184470	-0.03,0.02,0.01,0.01,0.04,0.05,-0.06,-0.01,0.03,0.02,-0.04,-0.05,0.01	0.06	0.37
gene:ENSG00000100227	0.00,0.01,-0.00,0.01,-0.01,-0.01,-0.01	0.01	0.36
gene:ENSG00000100360	-0.01,0.09,-0.04,-0.02,0.03,-0.05	0.09	0.36
gene:ENSG00000183762	0.02,-0.02,0.01,-0.00	0.02	0.36
gene:ENSG00000100201	0.05,0.05,-0.08,-0.00,-0.01	0.08	0.35
gene:ENSG00000099995	0.06,0.03,-0.08,-0.02	0.08	0.34
gene:ENSG00000180957	0.09,-0.04,-0.01,-0.00,-0.01,-0.02	0.09	0.34
gene:ENSG00000182944	0.00,0.01,0.01,-0.01,0.00,-0.01,-0.07,0.07,-0.01,0.01,-0.00,-0.00,0.03,-0.03,0.00	0.07	0.34
gene:ENSG00000184117	0.07,-0.05,-0.01,-0.00	0.07	0.33
gene:ENSG00000099940	0.08	0.08	0.32
gene:ENSG00000100077	0.06,-0.02,-0.04	0.06	0.32
gene:ENSG00000100106	0.02,0.03,-0.01,-0.03,0.06,0.02,0.03,-0.02,-0.05,-0.03,-0.03	0.06	0.31
gene:ENSG00000184983	0.01,0.06,-0.07	0.07	0.31
gene:ENSG00000073169	-0.01	0.01	0.3
gene:ENSG00000100226	0.05,-0.05,-0.05,0.01,0.00,0.01,0.01,0.01,0.00	0.05	0.29
gene:ENSG00000100300	0.00,0.04,-0.00,-0.02,-0.02	0.04	0.29
gene:ENSG00000242247	-0.06,0.06,-0.02,-0.00,0.02	0.06	0.29
gene:ENSG00000100068	-0.04	0.04	0.27
gene:ENSG00000198832	-0.03,0.07,-0.04	0.07	0.27
gene:ENSG00000100353	0.05,-0.00,-0.04,0.00,-0.00,-0.00,-0.01	0.05	0.26
gene:ENSG00000100246	0.03	0.03	0.25
gene:ENSG00000100324	0.04	0.04	0.25
gene:ENSG00000128185	-0.01,0.00,0.01	0.01	0.25
gene:ENSG00000131100	-0.05,0.03,0.01,0.01	0.05	0.25
gene:ENSG00000100417	0.03	0.03	0.24
